FirstName,LastName,Email,ACCOUNT_ID,LATEST_TRANSACTION_ID,COUNTRY,REGION,SALES_LEADER,SALES_VICE_PRESIDENT,ACCOUNT_AGE_YEARS,YTD_SALES,PRE_YTD_SALES,CUSTOMER_CATEGORY
Jeremiah,Talbot,Jeremiah.Talbot@fakeemailaddress.com,CID947999AAQ,ID107709CDG,US,US WEST,Taliah Pope,Matas Walmsley,8,80.38048,13.39465,Corporate 
Nate,Cameron,Nate.Cameron@fakeemailaddress.com,CID465440AAQ,ID308697CDG,CA,CA EAST,Iram Luna,Adem Osborne,6,2.11521,1.43770,End Customer
Olli,Carlson,Olli.Carlson@fakeemailaddress.com,CID145583AAQ,ID398833CDG,CA,CA EAST,Iram Luna,Adem Osborne,4,,1.65013,End Customer
Mae,Ramirez,Mae.Ramirez@fakeemailaddress.com,CID425393AAQ,ID569982CDG,US,US EAST,Nicole Stamp,Hattie Beattie,6,1.54248,1.93098,End Customer
Mohamad,Cano,Mohamad.Cano@fakeemailaddress.com,CID578731AAQ,ID539905CDG,US,US EAST,Nicole Stamp,Hattie Beattie,4,1.66743,1.68688,End Customer
Saira,Daniels,Saira.Daniels@fakeemailaddress.com,CID273028AAQ,ID174008CDG,CA,CA EAST,Iram Luna,Adem Osborne,7,2.45140,0.96091,End Customer
Aniyah,Mcnally,Aniyah.Mcnally@fakeemailaddress.com,CID833251AAQ,ID424673CDG,US,US WEST,Atlanta Avila,Matas Walmsley,8,1.99366,1.07307,End Customer
Lexi-Mai,Albert,Lexi-Mai.Albert@fakeemailaddress.com,CID862541AAQ,ID737469CDG,CA,CA EAST,Iram Luna,Adem Osborne,4,1.52602,2.33839,End Customer
Amelia-Rose,Shelton,Amelia-Rose.Shelton@fakeemailaddress.com,CID144086AAQ,ID795668CDG,CA,CA EAST,Iram Luna,Adem Osborne,7,47.84119,27.38527,Corporate 
Gregg,Keenan,Gregg.Keenan@fakeemailaddress.com,CID696948AAQ,ID391296CDG,CA,CA EAST,Iram Luna,Adem Osborne,2,2.51756,1.55120,End Customer
Toby,Finnegan,Toby.Finnegan@fakeemailaddress.com,CID707484AAQ,ID391263CDG,US,US EAST,Nicole Stamp,Hattie Beattie,7,157.98118,210.40338,Reseller
Zi,Gentry,Zi.Gentry@fakeemailaddress.com,CID169516AAQ,ID749396CDG,CA,CA EAST,Shahzaib Mahoney,Adem Osborne,3,1.45599,1.86075,End Customer
Kalem,Stubbs,Kalem.Stubbs@fakeemailaddress.com,CID194556AAQ,ID283919CDG,US,US WEST,Taliah Pope,Matas Walmsley,5,2.50150,0.88029,End Customer
Naveed,Smart,Naveed.Smart@fakeemailaddress.com,CID499058AAQ,ID325825CDG,CA,CA EAST,Shahzaib Mahoney,Adem Osborne,5,1.18479,1.94958,End Customer
Kristi,Donovan,Kristi.Donovan@fakeemailaddress.com,CID430150AAQ,ID689972CDG,US,US EAST,Nicole Stamp,Hattie Beattie,11,2.63508,1.96960,End Customer
Francesco,Malone,Francesco.Malone@fakeemailaddress.com,CID262320AAQ,ID117469CDG,CA,CA EAST,Iram Luna,Adem Osborne,5,1.27467,0.97165,End Customer
Nellie,Morris,Nellie.Morris@fakeemailaddress.com,CID769746AAQ,ID889085CDG,US,US EAST,Nicole Stamp,Hattie Beattie,5,2.37175,1.51056,End Customer
Zaid,Kirkland,Zaid.Kirkland@fakeemailaddress.com,CID806325AAQ,ID613666CDG,US,US EAST,Nicole Stamp,Hattie Beattie,2,1.87265,1.11165,End Customer
Suhayb,Rosales,Suhayb.Rosales@fakeemailaddress.com,CID771665AAQ,ID623715CDG,US,US EAST,Nicole Stamp,Hattie Beattie,3,2.27690,1.25298,End Customer
Harpreet,Knott,Harpreet.Knott@fakeemailaddress.com,CID174680AAQ,ID297208CDG,US,US WEST,Taliah Pope,Matas Walmsley,2,58.95253,34.26853,Corporate 
Kairo,Senior,Kairo.Senior@fakeemailaddress.com,CID421705AAQ,ID465276CDG,CA,CA EAST,Iram Luna,Adem Osborne,2,2.73706,1.17737,End Customer
Tahlia,Hyde,Tahlia.Hyde@fakeemailaddress.com,CID983538AAQ,ID994626CDG,CA,CA WEST,Zaid Nunez,Esa Walton,4,61.24096,129.27834,Reseller
Mehreen,Lewis,Mehreen.Lewis@fakeemailaddress.com,CID933772AAQ,ID265843CDG,US,US EAST,Nicole Stamp,Hattie Beattie,11,86.20737,63.84580,Corporate 
Devante,Carney,Devante.Carney@fakeemailaddress.com,CID331788AAQ,ID126292CDG,US,US WEST,Taliah Pope,Matas Walmsley,9,2.12987,0.40810,End Customer
Franco,Sandoval,Franco.Sandoval@fakeemailaddress.com,CID847477AAQ,ID818730CDG,US,,Nicole Stamp,Hattie Beattie,4,219.33388,106.69252,Reseller
Hayleigh,Estrada,Hayleigh.Estrada@fakeemailaddress.com,CID145354AAQ,ID746555CDG,US,US WEST,Taliah Pope,Matas Walmsley,8,2.43048,1.08823,End Customer
Ewen,Bassett,Ewen.Bassett@fakeemailaddress.com,CID810571AAQ,ID460474CDG,US,US EAST,Nicole Stamp,Hattie Beattie,5,1.78905,1.45599,End Customer
Rodney,Davenport,Rodney.Davenport@fakeemailaddress.com,CID388479AAQ,ID726056CDG,US,CA EAST,Shahzaib Mahoney,Adem Osborne,3,2.10056,1.47894,End Customer
Sydney,Kramer, Sydney.Kramer@fakeemailaddress.com,CID160537AAQ,ID701007CDG,CA,CA WEST,Zaid Nunez,Esa Walton,5,1.10363,1.62970,End Customer
Hashir,Mercer,Hashir.Mercer@fakeemailaddress.com,CID253540AAQ,ID514015CDG,US,US EAST,Nicole Stamp,Hattie Beattie,4,47.36854,17.56043,Corporate 
Fleur,Ellis,Fleur.Ellis@fakeemailaddress.com,CID816592AAQ,ID910142CDG,US,US EAST,Nicole Stamp,Hattie Beattie,5,0.92872,1.32992,End Customer
Tracey,Keller,Tracey.Keller@fakeemailaddress.com,CID897317AAQ,ID546762CDG,US,US WEST,Taliah Pope,Matas Walmsley,8,158.56185,102.39043,Reseller
Sammy-Jo,Reese,Sammy-Jo.Reese@fakeemailaddress.com,CID993911AAQ,ID828692CDG,CA,,Shahzaib Mahoney,Adem Osborne,5,2.18845,1.07357,End Customer
Kiaan,Wilde,Kiaan.Wilde@fakeemailaddress.com,CID859909AAQ,ID850690CDG,CA,CA EAST,Iram Luna,Adem Osborne,9,,1.02099,End Customer
Tahlia,Hyde,Tahlia.Hyde@fakeemailaddress.com,CID438320AAQ,ID912821CDG,CA,CA EAST,Shahzaib Mahoney,Adem Osborne,5,148.28950,104.20998,Reseller
Dewey,Vargas,Dewey.Vargas@fakeemailaddress.com,CID137942AAQ,ID667230CDG,CA,CA EAST,Shahzaib Mahoney,Adem Osborne,6,1.94849,1.00363,End Customer
